,BKLN,BND,DIA,DVY,EEM,EFA,EMB,FXI,GLD,HYG,IEMG,IVV,IWM,MDY,MTUM,MUB,QQQ,QUAL,SHY,SPY,TIP,TLT,USMV,VEA,VLUE,VNQ,VTI,VTV,VUG,VWO,VXUS,VYM,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,EWG,EWJ,EWU,IEF,IJR,IWD,IWF,LQD
2015-02-02,-0.0025565639359017346,-0.010448330662814313,-0.008882980488438589,-0.01828513659316871,0.06638955912661046,0.03516184980908369,0.025538057898781944,0.06662878598500888,0.008687150455710153,7.34158549460835e-05,0.06363058680168564,-0.014558479674932899,-0.016929097628936,-0.015387241418753902,-0.0216005119118603,-0.00422971622422553,-0.020415313951183695,-0.018286135449204422,-0.007656350026198133,-0.014608551930468713,-0.0073134686754639305,-0.019107535109597333,-0.018249417806539596,0.034884953311495936,-0.013908917544453716,-0.015407716472034384,-0.015324364135211805,-0.010896739589219436,-0.017346551917914028,0.06546626575784736,0.043098530375716544,-0.010762163681385705,-0.006642637973220307,0.008460153310381928,-0.014426939862833233,-0.0076649026000250526,-0.013293061917393703,-0.012530666062701895,-0.022567081536070118,-0.023886548321254846,-0.018105371151711756,0.027337069032408064,0.01927492361215389,0.03536869866816944,-0.017265148164951536,-0.015271472218379609,-0.010351303407494914,-0.018274482202407977,-0.017559099753648163
2015-03-02,0.0033963900673453676,-0.01200898758374791,-0.008868589077521085,-0.02053444565618155,0.06509790569969715,0.034321150857692155,0.026865232440924647,0.06393954226421288,0.008409333627451292,0.0028210660376645946,0.06200766673211647,-0.013764546553312123,-0.01316798358700251,-0.014564411773083338,-0.02302327684000354,-0.008242701242438857,-0.019024811080891397,-0.01650867283844894,-0.011570614121431958,-0.013791158681634922,-0.0067496166914360325,-0.021567546112789757,-0.020714831831687316,0.033700824331592896,-0.009089745944639606,-0.020441601298589893,-0.014209190708786169,-0.009609337184817908,-0.01656579584748378,0.06338374872565157,0.04246934222912496,-0.010179477881233018,-0.002393816373515953,0.014083704270381895,-0.01355265135168973,-0.006504672952139749,-0.012020000420540643,-0.017402304947338673,-0.026894294017023975,-0.02529788796696124,-0.01693619539111032,0.026439896217881374,0.01781695658361927,0.03524723991464349,-0.018720446877329936,-0.011699794312585299,-0.009154644336269868,-0.017514118706634767,-0.01771182980969825
2015-04-01,0.010844320985324072,-0.010698477802898653,-0.012398792516018806,-0.021007459063342865,0.062430525153835584,0.029549427439571587,0.03430602431955875,0.054349310904001066,0.015832545598108948,0.01367284839893095,0.059525822183466005,-0.013440397289331728,-0.010993794634046872,-0.011790405768667266,-0.023124354844258545,-0.015526285736779999,-0.017606101979490273,-0.017553686344196035,-0.0061431564813359905,-0.013424379888099885,-0.001922528902994997,-0.023004805662006033,-0.022682981575326448,0.02880940521021897,-0.007436575208005247,-0.025252193864767666,-0.013432875874086283,-0.009180671701872214,-0.015662915101233087,0.0612269635516545,0.038578595941643645,-0.010529269023843907,0.005300934629655588,0.023079301738599026,-0.012445075716632545,-0.008321108297744255,-0.013132308493218506,-0.020386591901433885,-0.03024603457552872,-0.027681200852760872,-0.01768667368238358,0.0199458581322371,0.010033715790977246,0.032514400022216984,-0.017495071584801486,-0.009679573183260296,-0.00849139376808106,-0.01722586682603309,-0.014396991855518912
2015-05-01,0.010544818391391713,-0.010489868054328867,-0.01296350584031378,-0.023067053608548164,0.05864883045109609,0.03227414008375775,0.030823671842450155,0.05433561534594947,0.015346690274376334,0.011136910275907503,0.05706502359372246,-0.012914306688253586,-0.011473502554758878,-0.011840840075786901,-0.02351781309312632,-0.018236984254159625,-0.0163817353338679,-0.01782200031893167,-0.003881152159757097,-0.01314773946448012,0.0001557936757467055,-0.020427670192236326,-0.02399169261403713,0.03143884962990048,-0.009626989867247962,-0.025951805070301925,-0.01282390092081591,-0.01057034698746092,-0.00997224623868019,0.05778639575177862,0.040452796337348294,-0.012605509652761665,0.0076106380917120315,0.02354138171416985,-0.011102618237381408,-0.009657906173993142,-0.012532568656229516,-0.021379352394782454,-0.033053060002523844,-0.026716242660402994,-0.01798394867987545,0.018668815378317646,0.015527507777823654,0.03464212138455121,-0.016726591080996354,-0.011000094949685374,-0.008988209220023339,-0.01637406711457318,-0.012778677839677982
2015-06-01,0.0057699540186395455,-0.0108263059983205,-0.012878210526397918,-0.02243258435848898,0.05755196069299527,0.03348014670255345,0.03167083434468727,0.050735792683042735,0.018283466896816935,0.009454274727248704,0.05629903230743805,-0.012912819546323341,-0.009961001218930158,-0.011571439437460083,-0.023866668479644908,-0.021067202149229237,-0.016420403540239405,-0.017996217800801136,0.0007223803512928463,-0.013178548915191907,0.0005841590565878976,-0.021607760326995164,-0.024148965548317972,0.03265873156319534,-0.01167058197013608,-0.025611752277005063,-0.012589634119971629,-0.010926768889493673,-0.009961918857712313,0.05671311085300036,0.04121043191543812,-0.01275150307515366,0.0071156303507133095,0.024684730411434933,-0.010648616670925117,-0.009513662498347267,-0.01282759858927472,-0.021291425033272665,-0.03369876004872777,-0.02728736226167927,-0.018368013461965774,0.02073941238824854,0.017795672003028402,0.03453027873363834,-0.016799459286114097,-0.009387221244776789,-0.009102013322898858,-0.016309425457537698,-0.01238615508866689
2015-07-01,0.005521756967448693,-0.009485367029943839,-0.013909076023087916,-0.022668534555850994,0.056653702852844844,0.03335180407753625,0.03292260089727734,0.05093626158310658,0.01831228295218193,0.00722659918978264,0.055252551606737484,-0.01350584806520786,-0.009806364430322232,-0.012758746781938965,-0.02396771987539184,-0.018817857324629154,-0.015991153731865302,-0.018064999029265123,0.005423280904093857,-0.014040260931641485,0.002191700704637167,-0.019718602163898057,-0.023701044290351365,0.032903933093377594,-0.013021204101001943,-0.02528776184047244,-0.013264902755290053,-0.01229001293556491,-0.00981718174989227,0.05541384375871762,0.040576402464410896,-0.013900848407296442,0.005621941068288946,0.02231960981463747,-0.010881109918145344,-0.011646047407487575,-0.012687289205461609,-0.020114373242953242,-0.03440229536548966,-0.026542462506272835,-0.017561229980102094,0.022612836182044755,0.019688591091206197,0.03307030079166978,-0.015015380298213322,-0.009525262611686028,-0.010775250069686987,-0.01571422214041436,-0.011117591231174827
2015-08-03,-0.003986151188884001,-0.00829380291654093,-0.015037038123603692,-0.022800519441000967,0.05539962250126111,0.03416260167091901,0.02917461886283362,0.05460162951009438,0.025164995444246684,0.007389653758229907,0.05564159836921721,-0.014421407986718175,-0.009865437539816476,-0.013399945360351573,-0.022245403745263292,-0.012866662634296486,-0.015308274076958344,-0.017784308176909996,0.007055377637229976,-0.014889828681810914,0.0020494568238743627,-0.018776248065968747,-0.02440023241936383,0.034293997780156925,-0.0102523464131068,-0.025675222026138,-0.013954249448497307,-0.013590551827246476,-0.010942078497872088,0.05447760403933026,0.04102950524269082,-0.015162305162805149,0.005453528474892828,0.017046698985987273,-0.01284042113120515,-0.012612408674133203,-0.012531439448022064,-0.021684978944292485,-0.034174457138519944,-0.023956494574037566,-0.018348198196526565,0.025449574547504145,0.01975759310145405,0.03185194325007742,-0.01231717962912765,-0.009589135037101182,-0.01204104663077669,-0.01615616365652799,-0.010096063206576229
2015-09-01,0.003902124087028809,-0.005378762755100777,-0.015799122928006563,-0.02224930932997646,0.05199254361167018,0.03394203893492282,0.03688428343437846,0.05052726306027001,0.023925819743151337,0.012951173020527677,0.05159413211267838,-0.01568471795170817,-0.011558407476265508,-0.013301400085211024,-0.02145458791371595,-0.009049268450769523,-0.016085918210261847,-0.019133181526572514,0.00768456107476079,-0.01590130951671165,0.008064875546549185,-0.015350882082033643,-0.025956592706936597,0.033629149878169645,-0.006348354158350365,-0.029632194412159016,-0.015229969349142168,-0.015349067151185987,-0.012511114755939006,0.05094884279429452,0.03874155213431132,-0.015231171553471392,0.004413399644331344,0.014206856209707575,-0.015527469607643236,-0.012580308129012414,-0.014067409429453559,-0.021392371293359233,-0.03510953012728034,-0.02445336398686559,-0.018461704838944867,0.02847733181288449,0.015268492680614988,0.03284556021974844,-0.008823574338688455,-0.011606962454187277,-0.013499656395614948,-0.016398415694180716,-0.006873901391251171
2015-10-01,0.0009629443928282172,-0.005712681947694084,-0.016242895002978576,-0.020945598945989838,0.051627423326501144,0.032763739548207355,0.039410375673167436,0.049750799426478955,0.024791531710093087,0.013794714164448248,0.051079408544051394,-0.015771966999651176,-0.010853770150366954,-0.012815324368850104,-0.02291260033433017,-0.007874772785036186,-0.01653001947051257,-0.019904715626323035,0.00744382533455014,-0.015869903301338088,0.009159824231470801,-0.014598973965703099,-0.02674493758912109,0.03241299468302578,-0.003997215653767597,-0.031198560433975526,-0.015074302219114483,-0.015249611597510862,-0.01304490338368707,0.05032925245699581,0.037531792560211844,-0.014685500432805533,0.007340512996229186,0.016656823638595615,-0.015371981017271118,-0.012135090229518112,-0.014316900422236841,-0.022954378406717078,-0.03439421421697671,-0.02647847044849122,-0.01892502801920619,0.027001853311403416,0.015348003638336804,0.032594180363404744,-0.00792174343262089,-0.010836971427781356,-0.013146454219658658,-0.016853772337854435,-0.006636741612911345
2015-11-02,0.004518312191604014,-0.006383681506812614,-0.01690644592916721,-0.01901729920399642,0.04863754053897922,0.031159643260400105,0.03970998903790398,0.04498428471652167,0.026390381380790404,0.018392748686652895,0.047633427242293275,-0.015113558650608074,-0.009517767552549348,-0.01192782274710389,-0.02448737382858874,-0.013451733909103949,-0.017549442430070374,-0.0194458195648666,0.007882040953956459,-0.015217525202979258,0.00958640807216866,-0.01439459123677857,-0.02798027058594021,0.03094176704542584,-0.0016791017036371747,-0.03481211848396267,-0.014124738914743244,-0.014118874320048167,-0.012805904270468071,0.04652873366600992,0.03613699276361276,-0.013428687590048142,0.012387252769812186,0.024826812169496986,-0.016768372814901105,-0.009862457679214717,-0.01623205533535516,-0.02388748622489266,-0.03498520134503107,-0.024544392573144048,-0.019521927714455822,0.024983605874295677,0.012690526083154288,0.03260953354692163,-0.00867775718602384,-0.01014493630976368,-0.011374919651772192,-0.017048145116241573,-0.004589590417731396
