Strategy,CAGR_gross,AnnVol_gross,Sharpe_gross,MaxDD_gross,CAGR_net,AnnVol_net,Sharpe_net,MaxDD_net,AvgTurnover,AvgGrossLev
Equal-Weight (monthly),0.07605886353759783,0.12966623468743196,0.6305279069447126,-0.2982468173522854,0.07596867366468718,0.12966106176622988,0.6299012805903877,-0.29824681735228553,0.007633587786259541,0.9999999999999998
"Eigenportfolio PC1 (L1=1, sum=0)",0.035940138398936394,0.0817122117545771,0.4730925748240255,-0.19809250557970448,0.035321560630451776,0.08171367368640195,0.4657751907550692,-0.19853297851539953,0.054418797496511816,1.0
"Eigenportfolio PC2 (L1=1, sum=0)",-0.03403214747656924,0.07936983161649182,-0.39663419173289033,-0.3824049839008852,-0.034971479100515235,0.07936311722185624,-0.4089311028386218,-0.38617578894484694,0.08863852812917,1.0
"Eigenportfolio PC3 (L1=1, sum=0)",0.005848557631368934,0.05200345401981989,0.13811835832272368,-0.1477938861940712,0.004234872501663656,0.052020636406427456,0.10722510821965948,-0.15351507476162707,0.14627707528624415,1.0
Min-Var (sum=1),0.01915918964408614,0.021754685387683687,0.8832879330025983,-0.08486696853368747,0.01567303952380228,0.02179644610015899,0.7244230749644054,-0.08486696853368758,0.31213649121583215,1.8439924446458813
"Factor-Neutral Min-Var (sum=1, neutral PCs 1-2)",0.023280078410021998,0.048718812991388215,0.4967752903330264,-0.12338040981875242,0.008100188162273758,0.049178247858508835,0.18866893550357386,-0.12338040981875198,1.3600960108215228,7.323483343951068
