K_neutral,Lmax_requested,Lmax_used_mode,Lmax_used_max,CAGR_net,Sharpe_net,MaxDD_net,AvgTurnover,AvgGrossLev
1,1.5,1.5,3.5,0.013895131044456166,0.32702368925502856,-0.1217916712379008,0.556032384863615,1.7590897372758723
1,2.0,2.0,3.5,0.012774214431771735,0.3604968223746166,-0.11426294045544194,0.45402572524610796,1.9439731013091164
1,2.5,2.5,2.5,0.01256505060781632,0.36726281903440183,-0.1142629404554415,0.44565899191650404,2.057578497200231
1,3.0,3.0,3.0,0.01309194740859132,0.4271873092913647,-0.1142629404554415,0.4492551861173528,2.18973469991631
2,1.5,3.5,3.5,0.02001814479638031,0.2661250989519269,-0.17872277670285575,0.9816035521937001,3.469465186436843
2,2.0,3.5,3.5,0.0461318716267094,0.4491328612121744,-0.23647772602151573,1.2014187236553244,2.9732822959655603
2,2.5,2.5,3.5,0.01984625375516247,0.213258693586291,-0.29150331720532785,1.2603529902114856,2.7671953476066236
2,3.0,3.0,3.5,0.02646371466338593,0.2935032214590831,-0.19470572134255426,0.9227105871202813,3.011452988116436
