,PC1,PC2,PC3,PC4,PC5
2015-02-02,0.6151056064737271,0.7151221480922663,0.7630641320834074,0.7898926235067418,0.8157826858308725
2015-03-02,0.6083154776869459,0.7171706234898826,0.7652930100176396,0.7926038882805752,0.8184322592643155
2015-04-01,0.604013375497225,0.7285185601743487,0.7724795969489988,0.7992142951911599,0.8238765738522287
2015-05-01,0.5999486893494764,0.7248933580066856,0.7689808951046051,0.7964181287913367,0.8204770564789021
2015-06-01,0.603938404116275,0.732374583139674,0.7747734854906744,0.8025416603258435,0.8270359641182532
2015-07-01,0.6118902287038899,0.7390100472785028,0.7820814728194734,0.808712036547138,0.8333411976427882
2015-08-03,0.6102999426092818,0.7339163648405123,0.7844610835114413,0.8104585659632112,0.8346157847828124
2015-09-01,0.6315151550421778,0.7543289150306072,0.8030420419012673,0.8280235121606756,0.8512299186351655
2015-10-01,0.6509707090476694,0.770254199033359,0.8139322662921471,0.8385383489107069,0.8614396581514169
2015-11-02,0.6489224725917637,0.7689080681256377,0.8125951487142847,0.8372911704025573,0.8598897379874728
2015-12-01,0.6534198039271861,0.7739370971691885,0.8147902022567632,0.8388354201440232,0.861741182067515
2016-01-04,0.6539289060811906,0.7774750291369026,0.8199876195443344,0.8434017662555419,0.8653311592738157
2016-02-01,0.6627371770308468,0.7855182874357637,0.8259470153459232,0.84791667024022,0.8691350999734988
2016-03-01,0.6649644828794359,0.7840508894879361,0.8240677107689133,0.8462011988687066,0.8674610987403713
2016-04-01,0.6712213885550843,0.7814306604881289,0.8209611111362954,0.8441197928101836,0.865896029083744
2016-05-02,0.672394680142293,0.7826064218410691,0.8226655974332265,0.8460285177216796,0.8677405021301012
2016-06-01,0.6754851932391556,0.7825238062361342,0.8238086790161414,0.8466656046852978,0.8679764129232566
2016-07-01,0.6817770947352385,0.7868357403463102,0.8288420900777268,0.8509492123540267,0.872426177696738
2016-08-01,0.6797523168110843,0.784876546728013,0.826459637060548,0.8492856434691303,0.8700077480240523
2016-09-01,0.6653948588986512,0.7726543092779116,0.815329222536637,0.8418784242055619,0.8626437047854
2016-10-03,0.6572401712439009,0.7733605492348917,0.8169849497771543,0.8414771756346643,0.8625284144292741
2016-11-01,0.6559457379654148,0.7754611625197447,0.8174928807745232,0.8420251941923155,0.8626917403517651
2016-12-01,0.6409254869594267,0.7666286013405362,0.8103945384453679,0.8389882795974393,0.8610338211881937
2017-01-03,0.6332149020059005,0.7663288881286843,0.8083640833440213,0.8360199295183353,0.8587693670240355
2017-02-01,0.6107066042531437,0.7525423667914214,0.7979079421279931,0.8261808002804532,0.8506246794067522
2017-03-01,0.5976095639645804,0.7468902240698706,0.7945704907573545,0.8249440903266831,0.8498106609789974
2017-04-03,0.5913801256840078,0.7481800309291018,0.7970429775476187,0.827304251891636,0.852346511296729
2017-05-01,0.5900573825727253,0.7496847743921702,0.7982586757972029,0.8279251899255355,0.8511278354411914
2017-06-01,0.5829071589303755,0.7454241559290113,0.7941914125247792,0.824540351050522,0.8484300072304543
2017-07-03,0.5329576197409865,0.7050037101074762,0.7552612807185285,0.793257067071409,0.8221728881934776
2017-08-01,0.5287873071592111,0.7074384936644469,0.7530460066276781,0.7925518603168796,0.8214481387424213
2017-09-01,0.5388169393013177,0.7156227907952512,0.7584008698433332,0.7963375458721851,0.82573471688384
2017-10-02,0.49987666439769546,0.6843170033697802,0.7316013696829802,0.7738979380226176,0.8072121512268465
2017-11-01,0.4897777432434292,0.6759018502021846,0.7230369696853672,0.7670970852611754,0.8016942623860004
2017-12-01,0.499205969785232,0.6654026600946684,0.7203422318250388,0.7636351428123422,0.7942811486716134
2018-01-02,0.4968089490783378,0.6556495070685101,0.7130182768805214,0.7586104832742749,0.7887444088854113
2018-02-01,0.5069508090475666,0.6586852146256363,0.7158113650786448,0.7584139914250344,0.7881517500844681
2018-03-01,0.5899376410177005,0.7343522310993602,0.7770505587332872,0.8059512039062947,0.8303756222685329
2018-04-02,0.6077139121365956,0.7409539583569096,0.7823355743328448,0.8072627208715918,0.8298522739960706
2018-05-01,0.6142704675890571,0.7471358964776692,0.7886955009007653,0.8117911842587134,0.8334560292633081
2018-06-01,0.6146481869562174,0.747085413294082,0.7889360041643215,0.8124782830370513,0.8337407440788402
2018-07-02,0.6179033711561746,0.745688076260267,0.7896083137356252,0.8135202782117854,0.8357336077887241
2018-08-01,0.613868640903895,0.7395502590630998,0.7870865951400299,0.8120444164631577,0.8344780291983424
2018-09-04,0.6075734315596928,0.7327971824789498,0.7869030119374514,0.8134835707849776,0.8356178588461373
2018-10-01,0.6034544783900581,0.727849095675579,0.7843234439805664,0.8116532260757935,0.8334497719658113
2018-11-01,0.6187888583446073,0.7383776836764905,0.7924177703597413,0.8227524100247661,0.8434467282012343
2018-12-03,0.6246893893974185,0.7452396270578966,0.7989094468564456,0.8292227391194736,0.8483674568751496
2019-01-02,0.6410874212032539,0.755303243583239,0.8140318370888022,0.8414766896065979,0.860438538938561
2019-02-01,0.6473452170094556,0.7590737162059155,0.8158067512187388,0.8427826454020532,0.8625307286475599
2019-03-01,0.6315584611220466,0.7403885582360066,0.8051024794138802,0.8342717227215508,0.8541611859316828
2019-04-01,0.6251634935681564,0.7368294225394982,0.8039795202357138,0.8339388137421833,0.8538167248469177
2019-05-01,0.6177481052975868,0.7295996576273605,0.7981652038009107,0.8293023702952586,0.8495718098133918
2019-06-03,0.6288837468812744,0.735990606414646,0.8041672312423654,0.8334165691552327,0.852496076495762
2019-07-01,0.624293640990497,0.7364806589330658,0.8051344043137421,0.8343291978589789,0.8538402384269759
